Y,X1,X2,X3
414150048,676,804,762
45116400,205,240,917
353430618,389,978,929
63852000,850,626,120
18569628,77,522,462
142694560,643,730,304
80111427,319,863,291
25427,47,1,541
4594860,670,54,127
253701024,523,978,496
158760385,463,679,505
201489720,745,382,708
264960,15,32,552
421655220,665,927,684
937650,15,95,658
64090935,421,255,597
34990176,598,212,276
34992813,409,361,237
51714432,742,88,792
227307374,731,931,334
210631785,595,377,939
179029296,997,522,344
49739112,353,342,412
77252250,830,219,425
405584256,473,924,928
15450800,535,76,380
32430600,100,774,419
1241240,182,10,682
23588578,793,107,278
225349059,663,449,757
11363560,82,533,260
206802297,663,601,519
344125264,623,874,632
131473575,387,535,635
186841798,913,221,926
6704362,329,46,443
451137528,508,927,958
192679760,796,910,266
29587338,534,69,803
41800320,216,472,410
11137308,806,49,282
353808,36,252,39
292363032,741,662,596
32068008,126,501,508
93913600,460,352,580
50877600,580,680,129
28243215,165,429,399
12710980,445,148,193
2760545,47,691,85
93702216,677,948,146
66244080,430,524,294
162100224,246,704,936
203357700,382,975,546
149024340,246,795,762
233759670,965,859,282
266386176,672,796,498
560447910,723,957,810
50388000,260,425,456
105253324,631,446,374
40440890,71,790,721
30998880,304,618,165
114991344,689,976,171
281580,5,741,76
56909769,817,217,321
405810720,840,508,951
77647500,700,493,225
407941248,874,572,816
513061470,930,599,921
6773922,153,942,47
117243900,194,711,850
164891094,386,943,453
75436515,405,451,413
11286268,647,89,196
219335991,903,829,293
100166220,657,462,330
56385714,961,381,154
43096860,719,810,74
64512960,804,136,590
10059504,91,168,658
174495552,319,672,814
384256800,643,664,900
42135912,472,327,273
88750710,342,731,355
98480610,513,270,711
116439120,302,459,840
121537350,571,774,275
487504710,917,990,537
23408190,90,507,513
51588216,696,93,797
344133981,873,591,667
104342679,141,807,917
459707472,579,973,816
197773168,688,337,853
465387768,729,796,802
89340480,720,463,268
264383571,479,733,753
241032284,769,617,508
24184960,92,424,620
267614400,439,960,635
25309284,143,588,301
9972036,183,114,478
141469488,639,548,404
15049463,377,191,209
337095150,665,610,831
10619544,674,52,303
23034456,612,369,102
912869720,977,994,940
23668794,531,51,874
201630,1,858,235
33822477,481,117,601
13600314,91,342,437
30541588,119,307,836
110390416,472,674,347
2723220,41,615,108
34145064,783,46,948
400342085,685,671,871
138851232,962,372,388
206519024,842,344,713
13363200,96,870,160
84357468,276,461,663
2506752,272,96,96
153418500,662,618,375
16098390,693,46,505
112022880,556,690,292
48142380,181,660,403
175548276,666,669,394
44663260,710,142,443
114208380,561,540,377
338250000,1000,902,375
20464948,541,196,193
283552633,773,377,973
709830,478,3,495
14190680,590,28,859
109355400,900,154,789
45581760,136,630,532
32310576,466,108,642
4853065,443,313,35
64458300,725,93,956
7395862,134,569,97
7343370,15,834,587
5958229,557,19,563
5463120,60,884,103
255312,394,648,1
201923040,916,334,660
130909008,838,184,849
14373415,833,85,203
21662080,362,340,176
177906690,755,494,477
40945600,80,785,652
4345173,147,501,59
98426880,512,240,801
76806600,650,172,687
29399460,646,615,74
294517760,943,320,976
71998950,150,709,677
11722588,527,268,83
297420640,694,440,974
264677490,439,609,990
78575728,658,649,184
235119500,350,985,682
359218959,503,969,737
205076916,748,743,369
38120000,320,125,953
18534880,494,280,134
88765980,307,474,610
58777636,694,106,799
159606832,706,734,308
71836680,470,271,564
74659968,576,379,342
170364096,496,609,564
64876000,560,662,175
217888200,450,874,554
67182192,166,462,876
37667376,828,51,892
407772750,921,575,770
209278404,423,509,972
175032,117,4,374
298012000,715,800,521
1272312,82,431,36
21802728,38,822,698
58368830,233,533,470
166371975,693,291,825
4866880,536,227,40
31416840,105,548,546
78369700,925,236,359
2451708,564,7,621
